Mount St Mary's,Mount St. Mary's
St Francis (NY),St. Francis (NY)
St Francis (PA),St. Francis (PA)
Tenn St,Tennessee State
Tenn Tech,Tennessee Tech
UT Martin,Tennessee-Martin
Washington St,Washington State
American U,American University
Boston U,Boston University
Mississippi St,Mississippi State
Texas A&M;,Texas A&M
Appalachian St,Appalachian State
The Citadel,Citadel
Ga. Southern,Georgia Southern
Cent Arkansas,Central Arkansas
****Northwood University
****Southwestern
Northwestern St,Northwestern State
Sam Houston,Sam Houston State
SE Louisiana,Southeastern Louisiana
SF Austin,Stephen F. Austin
Omaha,Nebraska-Omaha
North Dakota St,North Dakota State
South Dakota St,South Dakota State
AR-Little Rock,Arkansas-Little Rock
LA-Lafayette,Lafayette
UL Monroe,Louisiana-Monroe
TX-Arlington,Texas-Arlington
BYU,Brigham Young
Loyola Mary,Loyola Marymount
CSU Bakersfield,Cal State Bakersfield
New Mexico St,New Mexico State
Seattle U,Seattle
TX-Pan American,Texas-Pan American
UMass Lowell,UMass-Lowell
Coast Carolina,Coastal Carolina
UC Santa Barbara,UC-Santa Barbara
CS Fullerton,Cal State Fullerton
CS Northridge,Cal State Northridge
Long Beach St,Long Beach State
E Illinois,Eastern Illinois
E Kentucky,Eastern Kentucky
Jacksonville St,Jacksonville State
SE Missouri St,Southeast Missouri State
*******Trinity University (
*******Huston-Tillotson
Texas A&M-CC;,Texas A&M-Corpus Christi
Alabama A&M;,Alabama A&M
AR-Pine Bluff,Arkansas-Pine Bluff
*******Morehouse College
Grambling St,Grambling State
Miss Valley St,Mississippi Valley State
PV A&M;,Prairie View A&M
Southern
