Abilene Christian,28,11,17,39.3,1921.0,68.6,49.8,104.5,670,1519,44.1,450,607,74.1,217,541,40.1,51.3,55.5,40.0,45.1,22.4,32.4,1.04,2007,71.7,50.8,925,33.0,31.1,288,10.3,70.5,637,22.8,96,3.4,54.2,363,13.0,0.9,10.7,205,7.3,21.0,404,14.4,4.6,67,2.4,581,20.8,18
Air Force,25,10,15,40.0,1649.0,66.0,48.8,102.1,578,1300,44.5,341,487,70.0,186,540,34.4,51.6,55.0,37.5,46.6,20.3,33.2,1.02,1683,67.3,48.7,806,32.2,27.2,220,8.8,70.2,586,23.4,72,2.9,63.0,364,14.6,1.08,8.4,139,5.6,20.4,336,13.4,6.3,84,3.4,467,18.7,13
Akron,27,17,10,63.0,1795.0,66.5,52.8,102.5,633,1478,42.8,382,603,63.3,191,567,33.7,49.3,52.1,40.8,48.1,20.8,31.2,1.02,1839,68.1,51.9,946,35.0,36.4,343,12.7,67.3,603,22.3,79,2.9,47.7,302,11.2,0.81,10.1,181,6.7,20.7,372,13.8,7.8,115,4.3,486,18.0,9
Alabama,27,11,16,40.7,1767.0,65.4,52.0,104.3,631,1419,44.5,429,622,69.0,152,457,33.3,49.8,53.7,43.8,52.0,23.3,24.7,1.04,1843,68.3,48.7,889,32.9,31.0,276,10.2,66.4,613,22.7,92,3.4,47.7,301,11.1,0.93,10.6,187,6.9,18.3,324,12.0,8.7,127,4.7,515,19.1,15
Alabama A&M,24,10,14,41.7,1617.0,67.4,47.1,95.1,522,1284,40.7,346,541,64.0,146,451,32.4,46.3,49.9,42.1,48.9,22.5,28.5,0.95,1538,64.1,46.3,792,33.0,26.8,232,9.7,65.7,560,23.3,89,3.7,57.5,300,12.5,0.95,8.6,139,5.8,19.5,316,13.2,7.0,88,3.7,527,22.0,16
Alabama State,25,15,10,60.0,1726.0,69.0,54.3,104.3,628,1482,42.4,403,591,68.2,141,482,29.3,47.1,51.1,39.9,54.1,22.4,23.5,1.04,1801,72.0,50.9,917,36.7,36.0,345,13.8,65.7,572,22.9,104,4.2,51.4,323,12.9,1.04,9.3,160,6.4,18.0,311,12.4,6.5,91,3.6,443,17.7,11
Albany,27,14,13,51.9,1733.0,64.2,50.7,101.4,599,1375,43.6,434,586,74.1,125,357,35.0,48.1,53.1,42.6,54.0,24.7,21.3,1.01,1757,65.1,51.3,929,34.4,31.9,276,10.2,70.6,653,24.2,102,3.8,50.8,304,11.3,0.87,8.4,146,5.4,20.2,350,13.0,5.7,85,3.1,473,17.5,17
Alcorn State,27,11,16,40.7,1797.0,66.6,49.5,97.2,613,1436,42.7,400,617,64.8,121,388,31.2,46.9,50.5,43.0,56.3,22.9,20.8,0.97,1747,64.7,47.5,845,31.3,28.5,256,9.5,66.5,589,21.8,52,1.9,40.9,251,9.3,0.79,9.0,162,6.0,17.8,319,11.8,7.1,105,3.9,502,18.6,16
American U,27,16,11,59.3,1658.0,61.4,50.8,106.2,637,1268,50.2,312,445,70.1,174,447,38.9,57.1,59.5,35.1,52.6,17.7,29.7,1.06,1760,65.2,49.1,812,30.1,28.2,201,7.4,70.0,611,22.6,72,2.7,65.3,416,15.4,1.09,9.8,163,6.0,23.0,381,14.1,7.1,93,3.4,494,18.3,8
Appalachian St,27,8,19,29.6,1839.0,68.1,53.7,101.7,663,1575,42.1,399,614,65.0,146,473,30.9,46.7,50.1,39.0,55.3,21.3,23.4,1.02,1871,69.3,52.5,986,36.5,34.5,357,13.2,70.5,629,23.3,117,4.3,46.0,305,11.3,0.94,9.2,169,6.3,17.7,325,12.0,4.8,71,2.6,539,20.0,10
