TEAM,URL,CONFERENCE
Abilene Christian,http://statsheet.com/mcb/teams/abilene-christian,Southland
Air Force,http://statsheet.com/mcb/teams/air-force,Mountain West
Akron,http://statsheet.com/mcb/teams/akron,MAC
Alabama,http://statsheet.com/mcb/teams/alabama,SEC
Alabama A&M,http://statsheet.com/mcb/teams/alabama-am,SWAC
Alabama State,http://statsheet.com/mcb/teams/alabama-state,SWAC
Albany,http://statsheet.com/mcb/teams/albany,America East
Alcorn State,http://statsheet.com/mcb/teams/alcorn-state,SWAC
American University,http://statsheet.com/mcb/teams/american-university,Patriot
Appalachian State,http://statsheet.com/mcb/teams/appalachian-state,SoCon
Arizona,http://statsheet.com/mcb/teams/arizona,Pac-12
Arizona State,http://statsheet.com/mcb/teams/arizona-state,Pac-12
Arkansas,http://statsheet.com/mcb/teams/arkansas,SEC
Arkansas State,http://statsheet.com/mcb/teams/arkansas-state,Sun Belt
Arkansas-Little Rock,http://statsheet.com/mcb/teams/arkansas-little-rock,Sun Belt
Arkansas-Pine Bluff,http://statsheet.com/mcb/teams/arkansas-pine-bluff,SWAC
Army,http://statsheet.com/mcb/teams/army,Patriot
Auburn,http://statsheet.com/mcb/teams/auburn,SEC
Austin Peay,http://statsheet.com/mcb/teams/austin-peay,Ohio Valley
Ball State,http://statsheet.com/mcb/teams/ball-state,MAC
Baylor,http://statsheet.com/mcb/teams/baylor,Big 12
Belmont,http://statsheet.com/mcb/teams/belmont,Ohio Valley
Bethune-Cookman,http://statsheet.com/mcb/teams/bethune-cookman,MEAC
Binghamton,http://statsheet.com/mcb/teams/binghamton,America East
Boise State,http://statsheet.com/mcb/teams/boise-state,Mountain West
Boston College,http://statsheet.com/mcb/teams/boston-college,ACC
Boston University,http://statsheet.com/mcb/teams/boston-university,Patriot
Bowling Green,http://statsheet.com/mcb/teams/bowling-green,MAC
Bradley,http://statsheet.com/mcb/teams/bradley,Missouri Valley
Brigham Young,http://statsheet.com/mcb/teams/brigham-young,West Coast
Brown,http://statsheet.com/mcb/teams/brown,Ivy League
