*first four
north-carolina-at,liberty,w
middle-tennessee-state,saint-marys,l
long-island,james-madison,l
boise-state,la-salle,l
*round1
louisville,north-carolina-at,w
colorado-state,missouri,w
oklahoma-state,oregon,l
saint-louis,new-mexico-state,w
memphis,saint-marys,w
michigan-state,valparaiso,w
creighton,cincinnati,w
duke,albany,w
gonzaga,southern-university,w
pittsburgh,wichita-state,l
wisconsin,mississippi,l
kansas-state,la-salle,l
arizona,belmont,w
new-mexico,harvard,l
notre-dame,iowa-state,l
ohio-state,iona,w
kansas,western-kentucky,w
north-carolina,villanova,w
virginia-commonwealth,akron,w
michigan,south-dakota-state,w
ucla,minnesota,l
florida,northwestern-state,w
san-diego-state,oklahoma,w
georgetown,florida-gulf-coast,l
indiana,james-madison,w
north-carolina-state,temple,l
unlv,california,l
syracuse,montana,w
butler,bucknell,w
marquette,davidson,w
illinois,colorado,w
miami-fl,pacific,w
*round2
louisville,colorado-state,w
oregon,saint-louis,w
memphis,michigan-state,l
creighton,duke,l
gonzaga,wichita-state,l
mississippi,la-salle,l
arizona,harvard,w
iowa-state,ohio-state,l
kansas,north-carolina,w
virginia-commonwealth,michigan,l
minnesota,florida,l
san-diego-state,florida-gulf-coast,l
indiana,temple,w
california,syracuse,l
butler,marquette,l
illinois,miami-fl,l
*round3
louisville,oregon,w
michigan-state,duke,l
wichita-state,la-salle,w
arizona,ohio-state,l
kansas,michigan,l
florida,florida-gulf-coast,w
indiana,syracuse,l
marquette,miami-fl,w
*round4
louisville,duke,1
wichita-state,ohio-state,w
michigan,florida,w
syracuse,marquette,w
*round5
louisville,wichita-state,w
michigan,syracuse,w
*round6
louisville,michigan,w
