Total Games,Winning Pct,Possessions,Possessions Per 40 minutes,Floor Pct,Efficiency,Field Goal Attempts,Field Goal Pct,Free Throw Attempts,Free Throw Pct,3-pt Field Goal Attempts,3-pt Field Goal Pct,Effective Field Goal Pct,True Shooting Pct,Free Throw Rate,Field Goal Point Pct,Free Throw Point Pct,3-pt Field Goal Point Pct,Points Per Possessions,Points,Points Per Game,Rebound Pct,Total Rebounds,Total Rebounds Per Game,Offensive Reb Pct,Offensive Rebounds,Offensive Rebounds Per Game,Defensive Reb Pct,Defensive Rebounds,Defensive Rebounds Per Game,Team Rebounds,Team Rebounds Per Game,Assist Pct,Assists,Assists Per Game,Assist to Turnover,Steal Pct,Steals,Steals Per Game,Turnover Pct,Turnovers,Turnovers Per Game,Block Pct,Blocks,Blocks Per Game,Fouls,Fouls Per Game,Disqualifications,Outcome
1.0,12.4,66.0,0.0,-2.8,-10.3,-27.0,-2.6,39.0,-7.2,38.0,-7.1,-3.5,-3.9,2.6,1.6,0.5,-2.2,-0.11,-190.0,-7.0,-0.1,14.0,-0.6,0.3,20.0,0.3,-0.6,-6.0,-0.8,12.0,0.2,-0.7,-38.0,-1.4,-0.2,2.4,64.0,1.6,2.9,85.0,1.9,3.3,58.0,1.5,31.0,0.4,7.0,W
-1.0,2.4,-21.0,1.3,-2.0,-8.1,-104.0,-0.7,46.0,-2.9,-248.0,0.2,-2.9,-2.5,4.6,6.7,2.2,-8.8,-0.08,-205.0,-3.9,-2.4,-52.0,-0.4,-0.6,-15.0,-0.1,-4.3,-37.0,-0.3,0.0,0.1,1.5,-21.0,-0.2,-0.17,1.2,24.0,0.9,2.3,48.0,1.7,2.1,30.0,1.0,88.0,3.1,-3.0,L
-2.0,0.5,72.0,5.9,4.6,10.8,-32.0,5.8,156.0,-0.8,19.0,4.4,6.8,6.2,8.8,-1.7,1.2,0.6,0.11,331.0,13.5,1.6,24.0,2.6,5.6,40.0,1.8,-2.5,-16.0,0.9,5.0,0.3,4.6,92.0,3.3,0.01,-2.0,-40.0,-0.8,3.1,85.0,3.2,-3.2,-49.0,-1.2,-23.0,0.4,6.0,L
-2.0,-5.0,-145.0,-0.3,0.9,2.3,-141.0,0.9,-8.0,1.0,-58.0,1.4,1.1,1.3,2.1,-0.6,0.8,-0.2,0.02,-107.0,1.1,6.4,19.0,2.6,2.5,-9.0,0.3,10.2,28.0,2.2,-11.0,-0.2,-3.9,-58.0,-0.9,-0.13,-1.7,-51.0,-1.1,1.0,-5.0,0.5,-2.9,-65.0,-1.8,79.0,3.4,7.0,L
3.0,33.4,209.0,0.2,9.8,18.0,373.0,5.3,111.0,5.1,-16.0,2.9,4.8,4.7,-2.0,6.1,-1.2,-4.9,0.18,679.0,12.4,3.9,178.0,1.9,8.2,144.0,2.8,-0.4,34.0,-1.0,-41.0,-1.2,3.5,179.0,3.7,0.46,5.4,169.0,3.7,-4.4,-70.0,-2.8,-0.3,5.0,-0.2,11.0,-1.2,-7.0,W
1.0,6.7,-70.0,-3.9,2.4,1.9,-54.0,-1.0,149.0,-2.9,-103.0,-0.1,-1.7,-1.2,8.6,0.1,3.6,-3.7,0.02,-35.0,-3.2,3.7,15.0,-0.7,2.5,39.0,0.7,4.9,-24.0,-1.5,-16.0,-0.6,-0.6,-27.0,-1.2,0.07,-2.7,-67.0,-2.1,-1.7,-53.0,-1.9,-1.9,-45.0,-1.4,33.0,0.4,1.0,W
-4.0,-3.0,-326.0,-1.4,-0.7,2.4,-256.0,-0.8,-58.0,4.1,3.0,-1.7,-0.5,0.5,2.2,-3.6,2.1,1.5,0.03,-279.0,0.2,-4.0,-192.0,-1.2,-4.5,-97.0,-1.5,-3.6,-95.0,0.1,-17.0,-0.2,-2.4,-86.0,-1.0,0.1,-1.1,-66.0,-1.0,-3.2,-144.0,-2.5,1.2,9.0,0.8,-53.0,0.5,2.0,L
0.0,11.4,-19.0,-0.5,-3.3,2.3,-16.0,-0.9,-47.0,4.8,179.0,2.7,1.1,1.7,-2.2,-8.9,0.0,8.9,0.02,33.0,0.9,-4.5,-176.0,-5.0,-9.4,-115.0,-3.3,0.4,-61.0,-1.8,27.0,0.8,7.9,52.0,1.4,0.34,3.1,69.0,1.9,-4.4,-106.0,-3.1,-3.8,-84.0,-2.4,78.0,2.2,6.0,W
1.0,6.1,254.0,5.3,-2.1,-8.8,132.0,0.2,58.0,-6.5,-136.0,-0.3,-1.6,-2.3,0.4,7.6,-0.8,-6.8,-0.09,71.0,-0.1,-3.9,55.0,0.5,-1.4,17.0,0.1,-6.5,38.0,0.4,11.0,0.3,6.8,103.0,2.5,-0.05,3.3,107.0,2.8,2.4,107.0,2.6,5.9,133.0,3.6,39.0,0.6,10.0,W
2.0,-1.5,107.0,1.1,2.6,-3.8,222.0,-2.5,-3.0,-1.7,-157.0,-3.4,-5.4,-5.2,-5.0,10.5,-0.8,-9.7,-0.04,28.0,-3.2,3.2,252.0,5.2,5.2,118.0,2.8,1.2,134.0,2.4,19.0,0.3,-3.0,7.0,-0.5,0.01,2.0,57.0,1.2,-0.9,3.0,-0.7,0.8,26.0,0.5,-7.0,-1.1,-13.0,W
2.0,13.1,110.0,1.3,0.0,13.1,-81.0,9.8,-52.0,11.2,13.0,9.8,12.0,11.9,-1.3,-2.2,-1.7,3.9,0.14,418.0,7.9,-3.7,-88.0,-4.6,-9.9,-188.0,-6.1,2.6,100.0,1.4,-41.0,-1.4,12.1,194.0,4.7,0.41,-3.4,-66.0,-2.3,-0.5,11.0,-0.4,-6.8,-116.0,-3.5,-17.0,-1.5,-7.0,W
1.0,14.7,251.0,5.2,3.8,11.1,285.0,3.7,96.0,0.2,101.0,2.9,4.3,3.5,-0.8,1.0,-1.7,0.8,0.11,527.0,12.9,-3.5,40.0,0.2,-2.9,-8.0,-0.5,-4.1,48.0,0.7,-57.0,-1.7,1.8,121.0,3.0,0.5,0.8,40.0,0.9,-5.6,-85.0,-2.8,2.8,64.0,1.8,81.0,1.8,15.0,W
2.0,21.7,123.0,-2.2,9.6,15.1,177.0,6.4,88.0,1.6,-10.0,0.6,5.8,5.2,1.0,6.4,-1.1,-5.4,0.15,473.0,9.6,6.2,158.0,2.5,11.7,126.0,3.1,0.6,32.0,-0.6,-2.0,-0.2,5.8,154.0,3.7,0.3,0.8,33.0,0.5,0.6,34.0,0.3,-2.5,-38.0,-1.4,-11.0,-1.3,-9.0,W
-6.0,-4.2,-513.0,-3.7,3.8,5.6,-391.0,3.2,-125.0,-3.1,-298.0,1.0,1.7,1.1,1.0,8.0,-0.8,-7.2,0.05,-438.0,-0.5,-0.6,-334.0,-3.2,2.4,-87.0,-0.2,-3.5,-247.0,-2.9,-46.0,-0.7,8.6,7.0,2.7,0.4,-0.6,-71.0,-0.8,-1.4,-128.0,-1.6,-0.4,-42.0,-0.4,-125.0,-0.5,-2.0,L
-1.0,-9.3,-386.0,-9.0,-1.6,-3.9,-270.0,-1.8,-284.0,-4.4,50.0,0.6,-0.5,-1.8,-9.1,-3.6,-4.9,8.5,-0.04,-505.0,-12.2,1.7,-113.0,-2.1,-1.5,-69.0,-1.6,4.9,-44.0,-0.5,-64.0,-1.7,10.4,15.0,0.8,0.26,-2.4,-97.0,-2.6,-0.2,-67.0,-1.6,-0.6,-32.0,-0.7,-115.0,-2.8,-8.0,L
1.0,6.5,-51.0,-3.3,4.0,0.9,71.0,-1.5,26.0,-5.2,-37.0,-1.5,-2.4,-2.8,0.2,2.8,-0.3,-2.5,0.0,-36.0,-3.1,5.5,173.0,4.1,9.7,138.0,3.6,1.3,35.0,0.4,-14.0,-0.5,8.7,76.0,1.8,0.15,-0.5,-16.0,-0.6,1.0,13.0,0.0,1.0,10.0,0.2,111.0,2.7,0.0,L
2.0,-1.7,91.0,-1.3,0.1,-2.8,89.0,-3.6,118.0,1.7,-4.0,-1.2,-4.2,-2.9,4.6,-2.0,3.7,-1.6,-0.02,37.0,-3.4,6.3,227.0,4.7,5.1,87.0,1.9,7.4,137.0,2.6,21.0,0.5,-2.9,-40.0,-2.0,-0.13,-4.3,-88.0,-3.1,0.0,18.0,-0.2,2.0,46.0,1.1,-20.0,-1.6,11.0,W
5.0,16.2,341.0,0.5,0.7,-2.4,390.0,-5.2,132.0,-0.2,149.0,-4.7,-5.8,-5.0,-3.2,-0.9,0.8,0.2,-0.03,306.0,-1.0,3.5,350.0,5.8,3.3,116.0,2.3,3.7,234.0,3.5,24.0,0.3,7.9,113.0,1.3,0.28,-1.6,2.0,-1.0,-3.0,3.0,-1.8,-1.0,8.0,-0.4,85.0,0.3,0.0,L
0.0,5.7,-254.0,-7.2,1.3,-2.0,-182.0,0.6,-78.0,-2.2,-307.0,-0.4,-1.6,-1.8,-1.0,9.9,-0.4,-9.5,-0.02,-329.0,-9.4,-0.6,-74.0,-2.1,-0.2,-35.0,-1.0,-1.0,-39.0,-1.2,18.0,0.6,7.6,27.0,0.8,0.27,-1.2,-48.0,-1.4,-0.9,-67.0,-1.9,1.9,35.0,1.0,-98.0,-2.8,-2.0,L
3.0,19.6,-73.0,-7.8,0.5,-2.2,-49.0,-0.3,40.0,-7.3,-133.0,-1.1,-1.5,-2.1,2.7,4.7,0.2,-4.9,-0.02,-134.0,-10.2,2.1,77.0,-0.8,-1.0,-5.0,-1.1,5.2,82.0,0.3,-48.0,-1.6,-1.6,-30.0,-2.1,0.03,1.4,26.0,0.2,-0.9,-34.0,-2.0,3.5,61.0,1.4,8.0,-1.2,-9.0,W
1.0,28.2,129.0,1.7,2.7,9.6,90.0,5.4,54.0,6.3,-115.0,4.5,4.8,5.2,1.0,4.6,0.3,-4.8,0.09,373.0,8.3,-0.2,143.0,2.9,-1.3,-42.0,-1.5,0.9,185.0,4.3,-7.0,-0.3,10.6,175.0,4.4,0.37,1.0,37.0,0.8,-1.9,-20.0,-0.9,5.4,132.0,3.5,-71.0,-2.4,-4.0,W
2.0,10.6,253.0,3.2,6.1,7.9,561.0,2.5,-234.0,-4.4,106.0,4.5,2.5,-0.4,-22.3,8.6,-11.7,3.0,0.08,455.0,8.8,-0.5,153.0,2.2,1.9,105.0,2.3,-2.8,48.0,0.0,15.0,0.2,3.8,203.0,5.0,0.62,0.4,40.0,0.7,-5.7,-91.0,-3.4,-0.9,3.0,-0.1,-112.0,-4.1,-9.0,W
3.0,-3.8,262.0,1.7,1.6,4.9,369.0,-0.5,-9.0,5.8,111.0,1.9,-0.3,0.2,-6.4,0.0,-1.5,1.4,0.04,401.0,5.1,-2.7,1.0,-3.1,-1.1,67.0,0.8,-4.3,-66.0,-3.9,-9.0,-0.5,-5.3,36.0,-0.2,0.18,6.6,191.0,4.7,-3.7,-38.0,-2.2,-4.3,-80.0,-2.7,131.0,2.2,-5.0,W
4.0,8.1,255.0,-0.2,3.5,3.0,322.0,1.4,15.0,-6.1,75.0,-0.4,1.0,-0.2,-4.0,4.6,-3.3,-1.2,0.03,364.0,1.8,-0.8,155.0,0.4,2.9,85.0,1.2,-4.6,70.0,-0.7,34.0,0.6,-3.9,59.0,0.0,0.15,1.8,64.0,1.1,-1.5,3.0,-1.0,0.9,30.0,0.6,4.0,-1.4,-10.0,W
