@relation march_games_data_fixed_predict_predicted

@attribute 'Total Games' numeric
@attribute 'Winning Pct' numeric
@attribute Possessions numeric
@attribute 'Possessions Per 40 minutes' numeric
@attribute 'Floor Pct' numeric
@attribute Efficiency numeric
@attribute 'Field Goal Attempts' numeric
@attribute 'Field Goal Pct' numeric
@attribute 'Free Throw Attempts' numeric
@attribute 'Free Throw Pct' numeric
@attribute '3-pt Field Goal Attempts' numeric
@attribute '3-pt Field Goal Pct' numeric
@attribute 'Effective Field Goal Pct' numeric
@attribute 'True Shooting Pct' numeric
@attribute 'Free Throw Rate' numeric
@attribute 'Field Goal Point Pct' numeric
@attribute 'Free Throw Point Pct' numeric
@attribute '3-pt Field Goal Point Pct' numeric
@attribute 'Points Per Possessions' numeric
@attribute Points numeric
@attribute 'Points Per Game' numeric
@attribute 'Rebound Pct' numeric
@attribute 'Total Rebounds' numeric
@attribute 'Total Rebounds Per Game' numeric
@attribute 'Offensive Reb Pct' numeric
@attribute 'Offensive Rebounds' numeric
@attribute 'Offensive Rebounds Per Game' numeric
@attribute 'Defensive Reb Pct' numeric
@attribute 'Defensive Rebounds' numeric
@attribute 'Defensive Rebounds Per Game' numeric
@attribute 'Team Rebounds' numeric
@attribute 'Team Rebounds Per Game' numeric
@attribute 'Assist Pct' numeric
@attribute Assists numeric
@attribute 'Assists Per Game' numeric
@attribute 'Assist to Turnover' numeric
@attribute 'Steal Pct' numeric
@attribute Steals numeric
@attribute 'Steals Per Game' numeric
@attribute 'Turnover Pct' numeric
@attribute Turnovers numeric
@attribute 'Turnovers Per Game' numeric
@attribute 'Block Pct' numeric
@attribute Blocks numeric
@attribute 'Blocks Per Game' numeric
@attribute Fouls numeric
@attribute 'Fouls Per Game' numeric
@attribute Disqualifications numeric
@attribute predictedOutcome {W,L}
@attribute Outcome {W,L}

@data
1,12.4,66,0,-2.8,-10.3,-27,-2.6,39,-7.2,38,-7.1,-3.5,-3.9,2.6,1.6,0.5,-2.2,-0.11,-190,-7,-0.1,14,-0.6,0.3,20,0.3,-0.6,-6,-0.8,12,0.2,-0.7,-38,-1.4,-0.2,2.4,64,1.6,2.9,85,1.9,3.3,58,1.5,31,0.4,7,W,?
-1,2.4,-21,1.3,-2,-8.1,-104,-0.7,46,-2.9,-248,0.2,-2.9,-2.5,4.6,6.7,2.2,-8.8,-0.08,-205,-3.9,-2.4,-52,-0.4,-0.6,-15,-0.1,-4.3,-37,-0.3,0,0.1,1.5,-21,-0.2,-0.17,1.2,24,0.9,2.3,48,1.7,2.1,30,1,88,3.1,-3,W,?
-2,0.5,72,5.9,4.6,10.8,-32,5.8,156,-0.8,19,4.4,6.8,6.2,8.8,-1.7,1.2,0.6,0.11,331,13.5,1.6,24,2.6,5.6,40,1.8,-2.5,-16,0.9,5,0.3,4.6,92,3.3,0.01,-2,-40,-0.8,3.1,85,3.2,-3.2,-49,-1.2,-23,0.4,6,W,?
-2,-5,-145,-0.3,0.9,2.3,-141,0.9,-8,1,-58,1.4,1.1,1.3,2.1,-0.6,0.8,-0.2,0.02,-107,1.1,6.4,19,2.6,2.5,-9,0.3,10.2,28,2.2,-11,-0.2,-3.9,-58,-0.9,-0.13,-1.7,-51,-1.1,1,-5,0.5,-2.9,-65,-1.8,79,3.4,7,W,?
3,33.4,209,0.2,9.8,18,373,5.3,111,5.1,-16,2.9,4.8,4.7,-2,6.1,-1.2,-4.9,0.18,679,12.4,3.9,178,1.9,8.2,144,2.8,-0.4,34,-1,-41,-1.2,3.5,179,3.7,0.46,5.4,169,3.7,-4.4,-70,-2.8,-0.3,5,-0.2,11,-1.2,-7,W,?
1,6.7,-70,-3.9,2.4,1.9,-54,-1,149,-2.9,-103,-0.1,-1.7,-1.2,8.6,0.1,3.6,-3.7,0.02,-35,-3.2,3.7,15,-0.7,2.5,39,0.7,4.9,-24,-1.5,-16,-0.6,-0.6,-27,-1.2,0.07,-2.7,-67,-2.1,-1.7,-53,-1.9,-1.9,-45,-1.4,33,0.4,1,W,?
-4,-3,-326,-1.4,-0.7,2.4,-256,-0.8,-58,4.1,3,-1.7,-0.5,0.5,2.2,-3.6,2.1,1.5,0.03,-279,0.2,-4,-192,-1.2,-4.5,-97,-1.5,-3.6,-95,0.1,-17,-0.2,-2.4,-86,-1,0.1,-1.1,-66,-1,-3.2,-144,-2.5,1.2,9,0.8,-53,0.5,2,W,?
0,11.4,-19,-0.5,-3.3,2.3,-16,-0.9,-47,4.8,179,2.7,1.1,1.7,-2.2,-8.9,0,8.9,0.02,33,0.9,-4.5,-176,-5,-9.4,-115,-3.3,0.4,-61,-1.8,27,0.8,7.9,52,1.4,0.34,3.1,69,1.9,-4.4,-106,-3.1,-3.8,-84,-2.4,78,2.2,6,W,?
1,6.1,254,5.3,-2.1,-8.8,132,0.2,58,-6.5,-136,-0.3,-1.6,-2.3,0.4,7.6,-0.8,-6.8,-0.09,71,-0.1,-3.9,55,0.5,-1.4,17,0.1,-6.5,38,0.4,11,0.3,6.8,103,2.5,-0.05,3.3,107,2.8,2.4,107,2.6,5.9,133,3.6,39,0.6,10,W,?
2,-1.5,107,1.1,2.6,-3.8,222,-2.5,-3,-1.7,-157,-3.4,-5.4,-5.2,-5,10.5,-0.8,-9.7,-0.04,28,-3.2,3.2,252,5.2,5.2,118,2.8,1.2,134,2.4,19,0.3,-3,7,-0.5,0.01,2,57,1.2,-0.9,3,-0.7,0.8,26,0.5,-7,-1.1,-13,L,?
