abilene-christian,NULL
air-force,32,18,14,56.3,2083.0,65.1,50.0,107.6,795,1690,47.0,379,531,71.4,272,712,38.2,55.1,57.7,31.4,46.7,16.9,36.4,1.08,2241,70.0,46.9,964,30.1,24.8,240,7.5,69.0,724,22.6,75,2.3,63.9,508,15.9,1.34,9.9,206,6.4,18.2,380,11.9,3.2,55,1.7,557,17.4,7
akron,33,26,7,78.8,2224.0,67.4,54.8,106.5,852,1874,45.5,436,678,64.3,229,689,33.2,51.6,53.9,36.2,52.6,18.4,29.0,1.07,2369,71.8,53.7,1243,37.7,37.7,425,12.9,69.6,818,24.8,98,3.0,56.9,485,14.7,1.06,10.4,231,7.0,20.6,458,13.9,10.3,189,5.7,577,17.5,8
alabama,36,23,13,63.9,2265.0,62.9,50.9,100.1,808,1887,42.8,455,648,70.2,197,588,33.5,48.0,51.7,34.3,53.9,20.1,26.1,1.0,2268,63.0,49.5,1178,32.7,32.0,381,10.6,67.0,797,22.1,127,3.5,47.0,380,10.6,0.84,13.0,294,8.2,19.9,451,12.5,8.6,160,4.4,619,17.2,11
alabama-am,31,11,20,35.5,2116.0,68.3,49.0,92.5,696,1746,39.9,410,651,63.0,155,528,29.4,44.3,47.6,37.3,55.3,21.0,23.8,0.92,1957,63.1,50.6,1115,36.0,32.4,377,12.2,68.7,738,23.8,123,4.0,52.7,367,11.8,0.83,8.6,182,5.9,21.0,444,14.3,5.8,102,3.3,550,17.7,8
alabama-state,32,10,22,31.3,2162.0,67.6,49.6,91.5,734,1800,40.8,343,575,59.7,168,557,30.2,45.4,47.7,31.9,57.2,17.3,25.5,0.92,1979,61.8,49.6,1136,35.5,33.7,396,12.4,65.4,740,23.1,111,3.5,50.5,371,11.6,0.77,9.3,202,6.3,22.2,479,15.0,5.7,103,3.2,598,18.7,13
albany,35,24,11,68.6,2204.0,63.0,49.9,102.1,761,1748,43.5,516,700,73.7,213,575,37.0,49.6,54.1,40.0,48.7,22.9,28.4,1.02,2251,64.3,51.8,1168,33.4,31.7,345,9.9,71.8,823,23.5,146,4.2,51.8,394,11.3,0.84,8.7,192,5.5,21.2,468,13.4,3.8,71,2.0,564,16.1,7
alcorn-state,34,10,24,29.4,2355.0,69.3,44.5,87.3,726,1888,38.5,438,705,62.1,165,562,29.4,42.8,46.2,37.3,54.6,21.3,24.1,0.87,2055,60.4,47.1,1107,32.6,29.6,342,10.1,64.5,765,22.5,82,2.4,42.4,308,9.1,0.6,9.4,221,6.5,21.7,512,15.1,6.9,130,3.8,677,19.9,26
american-university,30,10,20,33.3,1804.0,60.1,47.8,96.2,616,1491,41.3,326,460,70.9,177,489,36.2,47.3,50.7,30.9,50.6,18.8,30.6,0.96,1735,57.8,50.7,973,32.4,28.5,270,9.0,73.0,703,23.4,88,2.9,56.5,348,11.6,0.96,5.6,101,3.4,20.2,364,12.1,4.8,75,2.5,431,14.4,3
appalachian-state,31,15,16,48.4,2167.0,69.9,51.3,106.5,777,1781,43.6,456,662,68.9,201,560,35.9,49.3,55.0,37.2,49.9,19.8,26.1,1.06,2307,74.4,50.7,1098,35.4,31.6,352,11.4,69.9,746,24.1,112,3.6,45.8,356,11.5,0.85,9.8,212,6.8,19.4,420,13.5,6.7,119,3.8,575,18.5,14
arizona,35,27,8,77.1,2346.0,67.0,53.2,109.5,880,1933,45.5,541,722,74.9,269,725,37.1,52.5,56.5,37.4,47.5,21.1,31.4,1.1,2570,73.4,54.2,1276,36.5,35.0,393,11.2,73.3,880,25.1,104,3.0,54.1,476,13.6,1.04,10.0,234,6.7,19.5,458,13.1,7.0,134,3.8,584,16.7,16
