abilene-christian,30,11,19,36.7,2058.0,68.6,49.5,104.9,717,1612,44.5,489,655,74.7,235,580,40.5,51.8,56.1,40.6,44.7,22.7,32.7,1.05,2158,71.9,50.2,978,32.6,30.3,295,9.8,70.1,683,22.8,103,3.4,54.1,388,12.9,0.9,10.3,213,7.1,21.0,433,14.4,4.4,70,2.3,626,20.9,21
air-force,28,11,17,39.3,1852.0,66.1,48.0,100.3,637,1464,43.5,376,539,69.8,207,618,33.5,50.6,54.0,36.8,46.3,20.2,33.4,1.0,1857,66.3,48.6,895,32.0,26.7,246,8.8,70.4,649,23.2,82,2.9,61.9,394,14.1,1.05,8.5,158,5.6,20.3,376,13.4,6.0,89,3.2,519,18.5,13
akron,31,20,11,64.5,2059.0,66.4,52.5,101.9,726,1696,42.8,427,683,62.5,219,637,34.4,49.3,51.9,40.3,48.3,20.4,31.3,1.02,2098,67.7,51.6,1090,35.2,35.1,382,12.3,68.1,708,22.8,92,3.0,47.9,348,11.2,0.84,10.0,206,6.6,20.1,414,13.4,7.8,132,4.3,552,17.8,10
alabama,30,12,18,40.0,1960.0,65.3,51.5,103.6,694,1566,44.3,472,684,69.0,171,511,33.5,49.8,53.7,43.7,51.5,23.2,25.3,1.04,2031,67.7,47.6,978,32.6,30.2,297,9.9,65.0,681,22.7,102,3.4,48.0,333,11.1,0.93,10.3,202,6.7,18.3,359,12.0,8.3,135,4.5,578,19.3,15
alabama-am,27,12,15,44.4,1821.0,67.4,47.1,95.6,586,1435,40.8,398,609,65.4,168,513,32.7,46.7,50.5,42.4,48.0,22.9,29.0,0.96,1740,64.4,46.4,896,33.2,26.9,257,9.5,65.9,639,23.7,99,3.7,57.8,339,12.6,0.96,9.0,164,6.1,19.4,354,13.1,7.7,109,4.0,591,21.9,16
alabama-state,28,17,11,60.7,1944.0,69.4,54.3,104.2,709,1667,42.5,446,665,67.1,160,550,29.1,47.3,51.1,39.9,54.2,22.0,23.7,1.04,2025,72.3,50.7,1021,36.5,35.6,385,13.8,65.8,636,22.7,116,4.1,52.2,370,13.2,1.06,9.5,184,6.6,17.9,348,12.4,6.6,104,3.7,511,18.3,14
albany,29,15,14,51.7,1851.0,63.8,51.1,102.2,643,1477,43.5,469,629,74.6,136,384,35.4,48.1,53.2,42.6,53.6,24.8,21.6,1.02,1891,65.2,51.5,993,34.2,32.4,301,10.4,70.6,692,23.9,112,3.9,50.2,323,11.1,0.87,8.4,156,5.4,20.1,372,12.8,5.7,90,3.1,506,17.4,17
alcorn-state,29,11,18,37.9,1929.0,66.5,49.0,96.9,652,1548,42.1,436,666,65.5,130,419,31.0,46.3,50.2,43.0,55.8,23.3,20.9,0.97,1870,64.5,47.3,895,30.9,28.4,273,9.4,66.1,622,21.4,52,1.8,40.3,263,9.1,0.78,9.0,173,6.0,17.5,338,11.7,7.0,111,3.8,543,18.7,18
american-university,30,18,12,60.0,1843.0,61.4,50.1,104.9,698,1411,49.5,346,490,70.6,192,507,37.9,56.3,58.8,34.7,52.3,17.9,29.8,1.05,1934,64.5,48.8,903,30.1,27.5,220,7.3,70.0,683,22.8,78,2.6,65.6,458,15.3,1.09,10.0,184,6.1,22.9,422,14.1,7.2,105,3.5,535,17.8,8
appalachian-state,30,9,21,30.0,2038.0,67.9,53.1,99.8,719,1730,41.6,445,697,63.8,151,500,30.2,45.9,49.3,40.3,55.9,21.9,22.3,1.0,2034,67.8,51.9,1091,36.4,34.0,392,13.1,69.8,699,23.3,131,4.4,45.5,327,10.9,0.9,9.2,187,6.2,17.8,362,12.1,5.0,83,2.8,597,19.9,10
