air-force,clune-arena
akron,james-a-rhodes-arena
alabama,coleman-coliseum
alabama-am,elmore-gym
alabama-state,joe-l-reed-acadome
albany,recreation-and-convocation-center
alcorn-state,davey-whitney-complex
american-university,bender-arena
appalachian-state,holmes-center
arizona,mckale-center
arizona-state,wells-fargo-arena
arkansas,bud-walton-arena
arkansas-state,convocation-center-ar
arkansas-little-rock,jack-stephens-center
arkansas-pine-bluff,k-l-johnson-complex
army,christl-arena
auburn,auburn-arena
austin-peay,winfield-dunn-center
ball-state,worthen-arena
baylor,ferrell-center
belmont,curb-event-center
bethune-cookman,moore-gym
binghamton,events-center
boise-state,taco-bell-arena
boston-college,silvio-o-conte-forum
boston-university,case-gym
bowling-green,stroh-center
bradley,carver-arena
brigham-young,marriott-center
brown,pizzitola-sports-center
bryant,chace-athletic-center
bucknell,sojka-pavilion
buffalo,alumni-arena
butler,hinkle-fieldhouse
cal-poly,mott-gym
cal-state-bakersfield,rabobank-arena
cal-state-fullerton,titan-gym
cal-state-northridge,the-matadome
california,haas-pavilion
campbell,john-w-pope-jr-convocation-center
canisius,koessler-athletic-center
central-arkansas,farris-center
central-connecticut-state,william-h-detrick-gymnasium
central-michigan,dan-rose-center
charleston-southern,csu-fieldhouse
north-carolina-charlotte,halton-arena
chattanooga,mckenzie-arena
chicago-state,jones-convocation-center
cincinnati,fifth-third-arena
citadel,mcalister-fieldhouse
clemson,littlejohn-coliseum
cleveland-state,csu-convocation-center
coastal-carolina,kimbel-arena
colgate,cotterell-court
college-of-charleston,td-arena
colorado,coors-events-center
colorado-state,moby-arena
columbia,levien-gymnasium
connecticut,hartford-civic-center
coppin-state,coppin-center
cornell,newman-arena
creighton,centurylink-center
dartmouth,edward-leede-arena
davidson,belk-arena
dayton,university-of-dayton-arena
delaware,bob-carpenter-center
delaware-state,memorial-hall
denver,magness-arena
depaul,allstate-arena
detroit,calihan-hall
drake,drake-knapp-center
drexel,daskalakis-athletic-center
duke,cameron-indoor-stadium
duquesne,a-j-palumbo-center
east-carolina,williams-arena-at-minges-coliseum
east-tennessee-state,2-memorial-center
eastern-illinois,lantz-arena
eastern-kentucky,mcbrayer-arena
eastern-michigan,convocation-center-mi
eastern-washington,reese-court
elon,alumni-gym
evansville,2-ford-center
fairfield,arena-at-harbor-yard
fairleigh-dickinson,rothman-center
florida,o-connell-center
florida-am,alfred-lawson-multipurpose-center
florida-atlantic,fau-gymnasium
florida-gulf-coast,alico-arena
florida-international,pharmed-arena
florida-state,donald-l-tucker-center
fordham,rose-hill-gym
fresno-state,savemart-center
furman,timmons-arena
gardner-webb,paul-porter-arena
george-mason,patriot-center
george-washington,charles-e-smith-center
georgetown,verizon-center
georgia,stegeman-coliseum
georgia-southern,hanner-fieldhouse
georgia-state,gsu-sports-arena
georgia-tech,hank-mccamish-pavilion
gonzaga,mccarthey-athletic-center
grambling-state,gsu-assembly-center
wisconsin-green-bay,resch-center
hampton,hampton-convocation-center-va
hartford,chase-family-arena
harvard,lavietes-pavilion
hawaii,stan-sheriff-center
high-point,millis-athletic-center
hofstra,mack-sports-complex
holy-cross,hart-center
houston,hofheinz-pavilion
houston-baptist,sharp-gymnasium
howard,burr-gymnasium
idaho,cowan-spectrum
idaho-state,reed-gym
illinois,assembly-hall-il
illinois-state,redbird-arena
indiana,assembly-hall-in
indiana-state,hulman-center
iona,hynes-athletic-center
iowa,carver-hawkeye-arena
iowa-state,james-h-hilton-coliseum
iupu-fort-wayne,allen-county-war-memorial-coliseum
iupui,iupui-gymnasium
jackson-state,williams-assembly-center
jacksonville,jacksonville-veterans-memorial-coliseum
jacksonville-state,pete-mathews-coliseum
james-madison,jmu-convocation-center
kansas,allen-fieldhouse
kansas-state,bramlage-coliseum
kennesaw-state,ksu-convocation-center
kent-state,memorial-athletic-and-convocation-center
kentucky,rupp-arena
la-salle,tom-gola-arena
lafayette,kirby-sports-center
lamar,montagne-center
lehigh,stabler-arena
liberty,vines-convocation-center
lipscomb,allen-arena
long-beach-state,the-walter-pyramid
long-island,athletic-recreation-wellness-center
longwood,willett-hall
louisiana-lafayette,cajun-dome
louisiana-tech,thomas-assembly-center
louisiana-monroe,fant-ewing-coliseum
louisville,kfc-yum-center
loyola-il,joseph-j-gentile-center
loyola-md,reitz-arena
