@relation training_data_fixed

@attribute 'Total Games' numeric
@attribute 'Winning Pct' numeric
@attribute Possessions numeric
@attribute 'Possessions Per 40 minutes' numeric
@attribute 'Floor Pct' numeric
@attribute Efficiency numeric
@attribute 'Field Goal Attempts' numeric
@attribute 'Field Goal Pct' numeric
@attribute 'Free Throw Attempts' numeric
@attribute 'Free Throw Pct' numeric
@attribute '3-pt Field Goal Attempts' numeric
@attribute '3-pt Field Goal Pct' numeric
@attribute 'Effective Field Goal Pct' numeric
@attribute 'True Shooting Pct' numeric
@attribute 'Free Throw Rate' numeric
@attribute 'Field Goal Point Pct' numeric
@attribute 'Free Throw Point Pct' numeric
@attribute '3-pt Field Goal Point Pct' numeric
@attribute 'Points Per Possessions' numeric
@attribute Points numeric
@attribute 'Points Per Game' numeric
@attribute 'Rebound Pct' numeric
@attribute 'Total Rebounds' numeric
@attribute 'Total Rebounds Per Game' numeric
@attribute 'Offensive Reb Pct' numeric
@attribute 'Offensive Rebounds' numeric
@attribute 'Offensive Rebounds Per Game' numeric
@attribute 'Defensive Reb Pct' numeric
@attribute 'Defensive Rebounds' numeric
@attribute 'Defensive Rebounds Per Game' numeric
@attribute 'Team Rebounds' numeric
@attribute 'Team Rebounds Per Game' numeric
@attribute 'Assist Pct' numeric
@attribute Assists numeric
@attribute 'Assists Per Game' numeric
@attribute 'Assist to Turnover' numeric
@attribute 'Steal Pct' numeric
@attribute Steals numeric
@attribute 'Steals Per Game' numeric
@attribute 'Turnover Pct' numeric
@attribute Turnovers numeric
@attribute 'Turnovers Per Game' numeric
@attribute 'Block Pct' numeric
@attribute Blocks numeric
@attribute 'Blocks Per Game' numeric
@attribute Fouls numeric
@attribute 'Fouls Per Game' numeric
@attribute Disqualifications numeric
@attribute Outcome {W,L}

@data
1,17.6,-7,-2.3,1,7.5,19,4.9,-159,-1.5,117,7.4,7.6,5.4,-9.9,-3,-7.1,10.2,0.08,149,2.5,-2,-64,-3.1,-4.4,-70,-2.5,0.4,6,-0.6,-52,-1.8,14,157,4.6,0.45,1.7,34,0.9,-0.7,-16,-0.9,-2.6,-44,-1.5,-33,-1.6,-3,W
3,15.1,338,4.1,1.8,-4.4,312,-3.4,216,-1.1,-23,-5.3,-5.9,-4.7,5.9,4.9,4.1,-9.1,-0.05,257,1.4,6.6,442,10.1,9,178,4.4,4.2,264,5.6,50,1.3,0.5,54,0.2,-0.19,0.6,47,0.8,1.9,107,2,6.8,148,4.1,36,-0.5,2,W
3,18,184,-0.3,8.5,5,271,-2.1,324,0.1,-180,-4.4,-5.6,-3.8,12.2,8.2,7,-15.2,0.05,312,2.9,11.9,436,9.9,16.4,253,6.6,7.3,183,3.3,28,0.6,-13.4,-63,-3.2,-0.2,-2.8,-44,-1.8,-1,9,-0.8,0.8,19,0.4,43,-0.3,0,W
0,-9.3,-48,-1.5,-2.7,-2.3,-100,1,-66,-3.3,75,-0.9,2.1,1.2,-2,-2.4,-2.1,4.5,-0.02,-102,-3.2,-6.9,-117,-3.7,-6.7,-83,-2.6,-7,-34,-1.1,-18,-0.6,12.6,85,2.7,0.24,0,-6,-0.2,0.1,-5,-0.1,-0.1,1,0,-42,-1.3,-10,W
2,2.5,0,-3.8,-2.7,-8,-35,-4.3,115,-3.9,-17,-6,-5.6,-4.8,7.6,-0.1,4.1,-4,-0.08,-167,-9,-0.3,10,-1.5,-0.4,18,0.1,-0.2,-8,-1.5,18,0.4,-7.7,-111,-4.2,-0.31,0.4,8,-0.1,0.4,7,-0.5,3.3,55,1.5,-36,-2.1,4,L
2,19.6,205,2.5,1.5,11.9,124,8,-62,4.6,189,3.4,10.3,9,-6.5,-0.9,-5.1,6,0.12,443,10.1,-1.1,-5,-2.2,-5.3,-79,-3.1,3.1,74,0.9,-28,-1.1,18.8,233,6.7,0.55,-1.6,-10,-0.8,-0.3,32,0.3,-3.8,-49,-1.8,-25,-2,-1,W
-2,-11.3,-188,-1.7,-2.2,3.9,-226,3.2,-166,3.1,94,5.5,6,5.3,-5,-7.4,-3.3,10.7,0.04,-115,0.7,-5.3,-289,-6.8,-7.5,-136,-3.6,-3,-153,-3.2,-34,-0.9,13.2,83,3.4,0.3,-0.4,-29,-0.5,0.1,-30,-0.2,-4.9,-100,-2.9,60,2.8,2,W
3,26.6,197,0,-0.2,-4.3,125,-4.7,298,0.7,-83,-3.1,-6.7,-4.4,14.3,-0.2,8.5,-8.2,-0.05,114,-2.7,4,268,5.1,4.5,95,2.1,3.4,173,3,34,0.8,1.9,-3,-1.5,-0.08,-0.3,14,-0.1,-0.6,22,-0.4,3.7,79,2.1,-15,-1.9,5,W
-1,-17.6,7,2.3,-1,-7.5,-19,-4.9,159,1.5,-117,-7.4,-7.6,-5.4,9.9,3,7.1,-10.2,-0.08,-149,-2.5,2,64,3.1,4.4,70,2.5,-0.4,-6,0.6,52,1.8,-14,-157,-4.6,-0.45,-1.7,-34,-0.9,0.7,16,0.9,2.6,44,1.5,33,1.6,3,W
-3,-15.1,-338,-4.1,-1.8,4.4,-312,3.4,-216,1.1,23,5.3,5.9,4.7,-5.9,-4.9,-4.1,9.1,0.05,-257,-1.4,-6.6,-442,-10.1,-9,-178,-4.4,-4.2,-264,-5.6,-50,-1.3,-0.5,-54,-0.2,0.19,-0.6,-47,-0.8,-1.9,-107,-2,-6.8,-148,-4.1,-36,0.5,-2,W
-3,-18,-184,0.3,-8.5,-5,-271,2.1,-324,-0.1,180,4.4,5.6,3.8,-12.2,-8.2,-7,15.2,-0.05,-312,-2.9,-11.9,-436,-9.9,-16.4,-253,-6.6,-7.3,-183,-3.3,-28,-0.6,13.4,63,3.2,0.2,2.8,44,1.8,1,-9,0.8,-0.8,-19,-0.4,-43,0.3,0,L
0,9.3,48,1.5,2.7,2.3,100,-1,66,3.3,-75,0.9,-2.1,-1.2,2,2.4,2.1,-4.5,0.02,102,3.2,6.9,117,3.7,6.7,83,2.6,7,34,1.1,18,0.6,-12.6,-85,-2.7,-0.24,0,6,0.2,-0.1,5,0.1,0.1,-1,0,42,1.3,10,W
-2,-2.5,0,3.8,2.7,8,35,4.3,-115,3.9,17,6,5.6,4.8,-7.6,0.1,-4.1,4,0.08,167,9,0.3,-10,1.5,0.4,-18,-0.1,0.2,8,1.5,-18,-0.4,7.7,111,4.2,0.31,-0.4,-8,0.1,-0.4,-7,0.5,-3.3,-55,-1.5,36,2.1,-4,W
-2,-19.6,-205,-2.5,-1.5,-11.9,-124,-8,62,-4.6,-189,-3.4,-10.3,-9,6.5,0.9,5.1,-6,-0.12,-443,-10.1,1.1,5,2.2,5.3,79,3.1,-3.1,-74,-0.9,28,1.1,-18.8,-233,-6.7,-0.55,1.6,10,0.8,0.3,-32,-0.3,3.8,49,1.8,25,2,1,W
2,11.3,188,1.7,2.2,-3.9,226,-3.2,166,-3.1,-94,-5.5,-6,-5.3,5,7.4,3.3,-10.7,-0.04,115,-0.7,5.3,289,6.8,7.5,136,3.6,3,153,3.2,34,0.9,-13.2,-83,-3.4,-0.3,0.4,29,0.5,-0.1,30,0.2,4.9,100,2.9,-60,-2.8,-2,W
-3,-26.6,-197,0,0.2,4.3,-125,4.7,-298,-0.7,83,3.1,6.7,4.4,-14.3,0.2,-8.5,8.2,0.05,-114,2.7,-4,-268,-5.1,-4.5,-95,-2.1,-3.4,-173,-3,-34,-0.8,-1.9,3,1.5,0.08,0.3,-14,0.1,0.6,-22,0.4,-3.7,-79,-2.1,15,1.9,-5,W
-2,15.9,-81,1.5,3.1,4.8,59,2.3,-157,-6,102,1.2,3.2,0.9,-9.8,1.8,-6.6,4.9,0.05,24,4.8,0.1,-46,0.9,1.7,8,1,-1.6,-54,-0.1,-19,-0.3,4.3,73,2.9,0.25,1.8,33,1.3,-1.5,-52,-0.7,4.3,75,2.4,-51,-0.4,-5,W
-3,-62.1,-339,-4.6,-8.2,-20.6,-309,-9.7,-125,1,-196,-5.6,-11.4,-9.6,-0.9,-0.1,3.9,-3.8,-0.21,-750,-17.8,-1.4,-239,-4.2,-4,-54,-0.5,1.4,-185,-3.7,19,0.9,-11.6,-231,-6.2,-0.47,0.9,-18,0.1,2.4,-24,0.6,-6.6,-138,-4,35,2.9,6,L
