@relation training_data

@attribute 'Total Games' numeric
@attribute Wins numeric
@attribute Losses numeric
@attribute 'Winning Pct' numeric
@attribute Possessions numeric
@attribute 'Possessions Per 40 minutes' numeric
@attribute 'Floor Pct' numeric
@attribute Efficiency numeric
@attribute 'Field Goals Made' numeric
@attribute 'Field Goal Attempts' numeric
@attribute 'Field Goal Pct' numeric
@attribute 'Free Throws Made' numeric
@attribute 'Free Throw Attempts' numeric
@attribute 'Free Throw Pct' numeric
@attribute '3-pt Field Goals Made' numeric
@attribute '3-pt Field Goal Attempts' numeric
@attribute '3-pt Field Goal Pct' numeric
@attribute 'Effective Field Goal Pct' numeric
@attribute 'True Shooting Pct' numeric
@attribute 'Free Throw Rate' numeric
@attribute 'Field Goal Point Pct' numeric
@attribute 'Free Throw Point Pct' numeric
@attribute '3-pt Field Goal Point Pct' numeric
@attribute 'Points Per Possessions' numeric
@attribute Points numeric
@attribute 'Points Per Game' numeric
@attribute 'Rebound Pct' numeric
@attribute 'Total Rebounds' numeric
@attribute 'Total Rebounds Per Game' numeric
@attribute 'Offensive Reb Pct' numeric
@attribute 'Offensive Rebounds' numeric
@attribute 'Offensive Rebounds Per Game' numeric
@attribute 'Defensive Reb Pct' numeric
@attribute 'Defensive Rebounds' numeric
@attribute 'Defensive Rebounds Per Game' numeric
@attribute 'Team Rebounds' numeric
@attribute 'Team Rebounds Per Game' numeric
@attribute 'Assist Pct' numeric
@attribute Assists numeric
@attribute 'Assists Per Game' numeric
@attribute 'Assist to Turnover' numeric
@attribute 'Steal Pct' numeric
@attribute Steals numeric
@attribute 'Steals Per Game' numeric
@attribute 'Turnover Pct' numeric
@attribute Turnovers numeric
@attribute 'Turnovers Per Game' numeric
@attribute 'Block Pct' numeric
@attribute Blocks numeric
@attribute 'Blocks Per Game' numeric
@attribute Fouls numeric
@attribute 'Fouls Per Game' numeric
@attribute Disqualifications numeric
@attribute Outcome {L,W}

@data
0,-3,3,-11.1,-23,-0.9,-4.7,-6.2,-83,-94,-3.2,2,-10,1.4,30,98,-0.2,-1.8,-1,2.1,-9.3,2.1,7.4,-0.07,-134,-4.9,0.7,31,1.1,-1.6,-18,-0.7,3.1,49,1.8,42,1.5,0,-40,-1.5,-0.25,-3.1,-58,-2.2,3.7,61,2.2,-4.1,-59,-2.2,-1,0,-6,L
-3,7,-10,32.4,-110,3.7,5.3,9.9,72,-11,5.5,-79,-99,-2.3,1,-84,6.5,5.6,3.7,-6.8,6.6,-5.7,-1,0.1,66,10.3,3.3,69,6.9,0.8,-16,0.6,5.7,85,6.3,-33,-0.8,3.3,55,3.5,0.31,-1.1,-29,-0.4,-2.6,-67,-1,3.8,49,2.3,-43,0.6,5,W
-3,-5,2,-17.6,-193,0.2,4,6.1,41,-9,3.2,-168,-231,-2.8,7,14,0.5,3.5,1.1,-16.4,6.6,-9.6,2.8,0.07,-79,4.3,0.8,-92,0.2,0.2,-19,0.5,1.3,-73,-0.3,-46,-1.3,-1.7,10,1.6,0.24,-3.2,-69,-2.1,-3.2,-93,-2,1.2,9,0.6,-16,1.7,5,L
0,-2,2,-7.4,53,2,-3.3,-3.7,-66,-86,-2.3,139,176,4.4,-23,-39,-2,-2.7,-0.4,14.5,-4.7,8.7,-3.9,-0.04,-16,-0.6,-2.4,-30,-1.1,-0.6,-11,-0.4,-4.2,-19,-0.7,19,0.7,-10.1,-92,-3.4,-0.37,-0.6,-4,-0.2,2.1,48,1.7,-2.6,-31,-1.1,9,0.4,-1,L
-2,-11,9,-36.2,-220,-3,-10.7,-20.2,-265,-283,-9.4,-68,-82,-1.8,-9,22,-3.3,-8.7,-7.3,2.5,-10.6,3.9,6.8,-0.21,-607,-16.7,-3.4,-174,-3.8,-4.3,-56,-1.2,-2.5,-118,-2.6,28,1.3,0.9,-121,-3.5,-0.47,-1,-39,-0.9,5,53,2.8,-3.2,-60,-1.9,-31,0.3,1,L
1,5,-4,17,12,-1.9,4.2,6.8,67,80,2.5,10,0,1.6,-10,-27,-0.3,1.8,1.6,-2.4,5.3,-1.4,-4,0.07,134,2.6,1.4,76,1.6,1.8,20,0.3,0.9,56,1.2,-34,-1.4,-1.8,22,0.4,0.18,0.7,13,0.3,-3.2,-55,-2.4,4.5,69,2.4,-17,-1.3,1,W
0,-3,3,-11.1,57,2.1,-5.6,-18.1,-163,-35,-10.5,144,229,-3.1,-79,-80,-9.1,-13.1,-10.3,17.1,-2.6,11.1,-8.4,-0.19,-261,-9.6,-0.3,42,1.5,4.8,84,3.1,-5.3,-42,-1.6,44,1.6,-7.7,-132,-4.9,-0.6,2.1,42,1.5,3.8,78,2.9,-0.2,-3,-0.1,59,2.2,4,L
0,5,-5,18.5,141,5.2,5.1,15.5,167,199,5.7,6,-39,5.7,87,176,4.6,7.7,6.7,-7.9,-1.6,-5,6.5,0.16,427,15.8,-0.8,-11,-0.4,-0.7,-4,-0.2,-1,-7,-0.2,-33,-1.2,-2.1,66,2.4,0.31,0.6,24,0.9,-4.5,-56,-2,1.5,30,1.1,-15,-0.6,3,L
1,19,-18,67,-80,-5.2,13.2,21.5,149,135,6.4,15,2,2.2,-20,-105,3.2,5.2,4.4,-3.8,10.7,-3.1,-7.6,0.22,293,8.3,5.4,107,2.7,9.6,89,2.8,1.1,18,-0.1,-38,-1.5,2.5,89,2.8,0.69,4.4,67,2.2,-6.7,-132,-5.2,6.2,81,2.8,-80,-3.6,-1,W
2,3,-1,8.6,265,4.6,6.4,7,179,303,3.8,22,79,-4.6,6,-10,1.9,2.9,1.3,-3.2,8.5,-3.8,-4.8,0.07,386,9.1,3.8,213,5.1,5,105,2.9,2.6,108,2.2,4,-0.2,0.8,92,2.5,0.19,0.6,36,0.8,-1.7,24,-0.1,1.8,33,1,105,2.3,8,W
