Total Games,Wins,Losses,Winning Pct,Possessions,Possessions Per 40 minutes,Floor Pct,Efficiency,Field Goals Made,Field Goal Attempts,Field Goal Pct,Free Throws Made,Free Throw Attempts,Free Throw Pct,3-pt Field Goals Made,3-pt Field Goal Attempts,3-pt Field Goal Pct,Effective Field Goal Pct,True Shooting Pct,Free Throw Rate,Field Goal Point Pct,Free Throw Point Pct,3-pt Field Goal Point Pct,Points Per Possessions,Points,Points Per Game,Rebound Pct,Total Rebounds,Total Rebounds Per Game,Offensive Reb Pct,Offensive Rebounds,Offensive Rebounds Per Game,Defensive Reb Pct,Defensive Rebounds,Defensive Rebounds Per Game,Team Rebounds,Team Rebounds Per Game,Assist Pct,Assists,Assists Per Game,Assist to Turnover,Steal Pct,Steals,Steals Per Game,Turnover Pct,Turnovers,Turnovers Per Game,Block Pct,Blocks,Blocks Per Game,Fouls,Fouls Per Game,Disqualifications,Outcome
0.0,-3.0,3.0,-11.1,-23.0,-0.9,-4.7,-6.2,-83.0,-94.0,-3.2,2.0,-10.0,1.4,30.0,98.0,-0.2,-1.8,-1.0,2.1,-9.3,2.1,7.4,-0.07,-134.0,-4.9,0.7,31.0,1.1,-1.6,-18.0,-0.7,3.1,49.0,1.8,42.0,1.5,0.0,-40.0,-1.5,-0.25,-3.1,-58.0,-2.2,3.7,61.0,2.2,-4.1,-59.0,-2.2,-1.0,0.0,-6.0,L
-3.0,7.0,-10.0,32.4,-110.0,3.7,5.3,9.9,72.0,-11.0,5.5,-79.0,-99.0,-2.3,1.0,-84.0,6.5,5.6,3.7,-6.8,6.6,-5.7,-1.0,0.1,66.0,10.3,3.3,69.0,6.9,0.8,-16.0,0.6,5.7,85.0,6.3,-33.0,-0.8,3.3,55.0,3.5,0.31,-1.1,-29.0,-0.4,-2.6,-67.0,-1.0,3.8,49.0,2.3,-43.0,0.6,5.0,W
-3.0,-5.0,2.0,-17.6,-193.0,0.2,4.0,6.1,41.0,-9.0,3.2,-168.0,-231.0,-2.8,7.0,14.0,0.5,3.5,1.1,-16.4,6.6,-9.6,2.8,0.07,-79.0,4.3,0.8,-92.0,0.2,0.2,-19.0,0.5,1.3,-73.0,-0.3,-46.0,-1.3,-1.7,10.0,1.6,0.24,-3.2,-69.0,-2.1,-3.2,-93.0,-2.0,1.2,9.0,0.6,-16.0,1.7,5.0,L
0.0,-2.0,2.0,-7.4,53.0,2.0,-3.3,-3.7,-66.0,-86.0,-2.3,139.0,176.0,4.4,-23.0,-39.0,-2.0,-2.7,-0.4,14.5,-4.7,8.7,-3.9,-0.04,-16.0,-0.6,-2.4,-30.0,-1.1,-0.6,-11.0,-0.4,-4.2,-19.0,-0.7,19.0,0.7,-10.1,-92.0,-3.4,-0.37,-0.6,-4.0,-0.2,2.1,48.0,1.7,-2.6,-31.0,-1.1,9.0,0.4,-1.0,L
-2.0,-11.0,9.0,-36.2,-220.0,-3.0,-10.7,-20.2,-265.0,-283.0,-9.4,-68.0,-82.0,-1.8,-9.0,22.0,-3.3,-8.7,-7.3,2.5,-10.6,3.9,6.8,-0.21,-607.0,-16.7,-3.4,-174.0,-3.8,-4.3,-56.0,-1.2,-2.5,-118.0,-2.6,28.0,1.3,0.9,-121.0,-3.5,-0.47,-1.0,-39.0,-0.9,5.0,53.0,2.8,-3.2,-60.0,-1.9,-31.0,0.3,1.0,L
1.0,5.0,-4.0,17.0,12.0,-1.9,4.2,6.8,67.0,80.0,2.5,10.0,0.0,1.6,-10.0,-27.0,-0.3,1.8,1.6,-2.4,5.3,-1.4,-4.0,0.07,134.0,2.6,1.4,76.0,1.6,1.8,20.0,0.3,0.9,56.0,1.2,-34.0,-1.4,-1.8,22.0,0.4,0.18,0.7,13.0,0.3,-3.2,-55.0,-2.4,4.5,69.0,2.4,-17.0,-1.3,1.0,W
0.0,-3.0,3.0,-11.1,57.0,2.1,-5.6,-18.1,-163.0,-35.0,-10.5,144.0,229.0,-3.1,-79.0,-80.0,-9.1,-13.1,-10.3,17.1,-2.6,11.1,-8.4,-0.19,-261.0,-9.6,-0.3,42.0,1.5,4.8,84.0,3.1,-5.3,-42.0,-1.6,44.0,1.6,-7.7,-132.0,-4.9,-0.6,2.1,42.0,1.5,3.8,78.0,2.9,-0.2,-3.0,-0.1,59.0,2.2,4.0,L
0.0,5.0,-5.0,18.5,141.0,5.2,5.1,15.5,167.0,199.0,5.7,6.0,-39.0,5.7,87.0,176.0,4.6,7.7,6.7,-7.9,-1.6,-5.0,6.5,0.16,427.0,15.8,-0.8,-11.0,-0.4,-0.7,-4.0,-0.2,-1.0,-7.0,-0.2,-33.0,-1.2,-2.1,66.0,2.4,0.31,0.6,24.0,0.9,-4.5,-56.0,-2.0,1.5,30.0,1.1,-15.0,-0.6,3.0,L
1.0,19.0,-18.0,67.0,-80.0,-5.2,13.2,21.5,149.0,135.0,6.4,15.0,2.0,2.2,-20.0,-105.0,3.2,5.2,4.4,-3.8,10.7,-3.1,-7.6,0.22,293.0,8.3,5.4,107.0,2.7,9.6,89.0,2.8,1.1,18.0,-0.1,-38.0,-1.5,2.5,89.0,2.8,0.69,4.4,67.0,2.2,-6.7,-132.0,-5.2,6.2,81.0,2.8,-80.0,-3.6,-1.0,W
2.0,3.0,-1.0,8.6,265.0,4.6,6.4,7.0,179.0,303.0,3.8,22.0,79.0,-4.6,6.0,-10.0,1.9,2.9,1.3,-3.2,8.5,-3.8,-4.8,0.07,386.0,9.1,3.8,213.0,5.1,5.0,105.0,2.9,2.6,108.0,2.2,4.0,-0.2,0.8,92.0,2.5,0.19,0.6,36.0,0.8,-1.7,24.0,-0.1,1.8,33.0,1.0,105.0,2.3,8.0,W
